"","receiver_id","Name","Team","Pos","G","Tgt","Rec","Yds"
"1","00-0022127","J.Witten","LV","TE",16,17,13,69
"2","00-0022921","L.Fitzgerald","ARI","WR",13,72,54,409
"3","00-0023500","F.Gore","NYJ","RB",15,19,16,89
"4","00-0024243","M.Lewis","GB","TE",15,20,13,135
"5","00-0025394","A.Peterson","DET","RB",16,18,12,101
"6","00-0025418","G.Olsen","SEA","TE",11,37,24,239
"7","00-0026035","D.Amendola","DET","WR",14,69,46,602
"8","00-0026189","D.Jackson","PHI","WR",5,26,14,236
"9","00-0027061","J.Cook","NO","TE",15,74,46,572
"10","00-0027150","J.Edelman","NE","WR",6,39,21,315
"11","00-0027656","R.Gronkowski","TB","TE",16,91,53,733
"12","00-0027685","E.Sanders","NO","WR",14,94,69,777
"13","00-0027696","J.Graham","CHI","TE",16,78,52,481
"14","00-0027793","A.Brown","TB","WR",8,74,53,564
"15","00-0027891","G.Tate","NYG","WR",12,52,35,388
"16","00-0027942","A.Green","CIN","WR",16,104,47,523
"17","00-0027944","J.Jones","ATL","WR",9,68,51,771
"18","00-0027981","K.Rudolph","MIN","TE",12,37,28,334
"19","00-0028002","R.Cobb","HOU","WR",10,48,38,441
"20","00-0028042","L.Stocker","ATL","TE",16,11,7,63
"21","00-0028074","A.Sherman","KC","RB",13,2,1,5
"22","00-0028097","L.Smith","BUF","TE",10,6,4,35
"23","00-0028142","V.Green","LAC","TE",6,6,3,50
"24","00-0029000","C.Beasley","BUF","WR",15,125,96,1112
"25","00-0029137","A.Jeffery","PHI","WR",7,13,6,115
"26","00-0029293","M.Jones","DET","WR",16,115,76,978
"27","00-0029608","T.Hilton","IND","WR",15,98,58,794
"28","00-0029738","D.Fells","HOU","TE",16,28,21,312
"29","00-0030035","A.Thielen","MIN","WR",15,108,74,925
"30","00-0030061","Z.Ertz","PHI","TE",11,72,36,335
"31","00-0030108","R.Griffin","NYJ","TE",15,12,9,86
"32","00-0030155","D.Harris","CHI","TE",15,14,7,45
"33","00-0030181","J.Doyle","IND","TE",14,42,30,321
