"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"1","00-0033288","G.Kittle","TE","SF",1,5,8
"2","00-0033288","G.Kittle","TE","SF",1,11,8
"3","00-0030564","D.Hopkins","WR","ARI",1,3,16
"4","00-0022921","L.Fitzgerald","WR","ARI",1,7,13
"5","00-0022921","L.Fitzgerald","WR","ARI",0,0,13
"6","00-0022921","L.Fitzgerald","WR","ARI",1,10,13
"7","00-0031687","R.Mostert","RB","SF",1,76,8
"8","00-0030564","D.Hopkins","WR","ARI",1,1,16
"9","00-0033118","K.Drake","RB","ARI",1,2,15
"10","00-0034775","C.Kirk","WR","ARI",0,0,14
"11","00-0031687","R.Mostert","RB","SF",1,5,8
"12","00-0033292","T.Taylor","WR","SF",0,0,12
"13","00-0034681","C.Edmonds","RB","ARI",1,10,16
"14","00-0033288","G.Kittle","TE","SF",1,14,8
"15","00-0031376","J.McKinnon","RB","SF",0,0,16
"16","00-0034775","C.Kirk","WR","ARI",0,0,14
"17","00-0022921","L.Fitzgerald","WR","ARI",1,8,13
"18","00-0033288","G.Kittle","TE","SF",1,14,8
"19","00-0030472","J.Reed","TE","SF",1,10,10
"20","00-0030564","D.Hopkins","WR","ARI",0,0,16
"21","00-0030564","D.Hopkins","WR","ARI",1,6,16
"22","00-0031558","M.Williams","TE","ARI",0,0,9
"23","00-0022921","L.Fitzgerald","WR","ARI",1,9,13
"24","00-0030564","D.Hopkins","WR","ARI",1,12,16
"25","00-0030564","D.Hopkins","WR","ARI",1,15,16
"26","00-0034681","C.Edmonds","RB","ARI",1,5,16
"27","00-0034681","C.Edmonds","RB","ARI",0,0,16
"28","00-0033307","K.Bourne","WR","SF",1,18,15
"29","00-0031376","J.McKinnon","RB","SF",0,0,16
"30","00-0034011","D.Arnold","TE","ARI",1,13,16
"31","00-0031558","M.Williams","TE","ARI",0,0,9
"32","00-0031376","J.McKinnon","RB","SF",1,9,16
"33","00-0031376","J.McKinnon","RB","SF",1,6,16
"34","00-0033288","G.Kittle","TE","SF",0,0,8
"35","00-0033292","T.Taylor","WR","SF",1,2,12
"36","00-0030564","D.Hopkins","WR","ARI",1,12,16
"37","00-0030564","D.Hopkins","WR","ARI",1,5,16
"38","00-0033118","K.Drake","RB","ARI",1,3,15
"39","00-0030564","D.Hopkins","WR","ARI",1,9,16
"40","00-0030564","D.Hopkins","WR","ARI",1,12,16
"41","00-0034775","C.Kirk","WR","ARI",0,0,14
"42","00-0033307","K.Bourne","WR","SF",0,0,15
"43","00-0034011","D.Arnold","TE","ARI",1,8,16
"44","00-0030564","D.Hopkins","WR","ARI",0,0,16
"45","00-0033307","K.Bourne","WR","SF",1,16,15
"46","00-0032058","T.Coleman","RB","SF",0,0,8
"47","00-0034681","C.Edmonds","RB","ARI",0,0,16
"48","00-0030564","D.Hopkins","WR","ARI",1,7,16
"49","00-0030564","D.Hopkins","WR","ARI",1,18,16
"50","00-0030564","D.Hopkins","WR","ARI",1,7,16
